dataset;title;value_type;repeatable;disease_history;medical_health_interv;medication;reproductive_history;early_life;life_habits_behaviours;sociodemographic_charact;physical_environment;social_environment;perception_of_health;anthropometric_structures;body_structures;body_functions;laboratory_measures;data_source;individual_participant_measures;target;period;essence;measure
CLSA DiseaseSymptoms;CCC_HEART_DCS;text;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_PVD_DCS;text;false;Diseases of the circulatory system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_MEMPB_DCS;text;false;Symptoms and signs involving cognition, perception, emotional state and behaviour;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_ALZH_DCS;text;false;Mental and behavioural disorders;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_MS_DCS;text;false;Diseases of the nervous system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_EPIL_DCS;text;false;Diseases of the nervous system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_MGRN_DCS;text;false;General symptoms and signs;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_ULCR_DCS;text;false;Diseases of the digestive system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_IBDIBS_DCS;text;false;Diseases of the digestive system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_BOWINC_DCS;text;false;Diseases of the digestive system | Symptoms and signs involving the digestive system and abdomen;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_URIINC_DCS;text;false;Diseases of the digestive system | Symptoms and signs involving the urinary system;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CATRCT_DCS;text;false;Diseases of the eye and adnexa;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_GLAUC_DCS;text;false;Diseases of the eye and adnexa;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_MACDEG_DCS;text;false;Diseases of the eye and adnexa;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
CLSA DiseaseSymptoms;CCC_CANC_DCS;text;false;Neoplasms;Diagnostic Interventions;;;;;;;;;;;;;Questionnaire;Health Outcomes and Risk Factors Measures;Participant;Through all life;Occurrence/Status/Named category;Categorical nominal
